"method","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","prompt_id","true_score","pred_score","abs_error"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P01_direct","0.71","0.6427687559100118","0.06723124408998815"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P02_concise","0.61","0.831858704677239","0.221858704677239"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P03_step_by_step","0.74","0.7307740914285048","0.00922590857149519"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P04_formal","0.68","0.6205883518129537","0.05941164818704636"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P05_verify","0.66","0.6392678596169907","0.0207321403830093"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P06_answer_only","0.64","0.6726409749400399","0.032640974940039924"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P07_careful","0.71","0.6955856924412788","0.014414307558721196"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P08_short_proof","0.63","0.5532352659151808","0.07676473408481921"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P09_competition","0.74","0.7234898979022543","0.016510102097745727"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P10_independent_check","0.72","0.6769299388990891","0.04307006110091083"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P11_plan_then_solve","0.72","0.7167891406084168","0.003210859391583165"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P12_no_guessing","0.68","0.6251568640730834","0.0548431359269167"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P13_symbolic","0.71","0.6880800981943573","0.021919901805642628"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P14_work_backwards","0.69","0.7413397601929335","0.051339760192933515"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P15_cases","0.71","0.6448147593581051","0.0651852406418949"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P16_invariants","0.73","0.7564040756878084","0.026404075687808448"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P17_constructive","0.63","0.6128394737825082","0.017160526217491756"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P18_error_check","0.7","0.6280821859602621","0.07191781403973785"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P19_minimal_formal","0.63","0.7959239687189481","0.1659239687189481"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P20_final_line_strict","0.7","0.6486575659999348","0.05134243400006511"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P21_boxed_only_after_reasoning","0.62","0.6193024946141862","0.0006975053858138125"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P22_no_extra_final_text","0.7","0.6377115475836034","0.06228845241639658"
"m1_additive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","P23_extractable_answer","0.7","0.593753766085952","0.10624623391404797"
