"benchmark","model_key","mask_type","mask_strategy","mask_id","requested_budget","effective_budget","budget_repaired","requested_n_observed","n_observed","n_total","min_required_n","connected","all_prompts_observed","all_items_observed","min_prompt_degree","max_prompt_degree","mean_prompt_degree","min_item_degree","max_item_degree","mean_item_degree","n_prompt_families","n_prompt_families_observed","prompt_family_coverage","n_item_clusters","n_item_clusters_observed","item_cluster_coverage"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","0","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","1","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","2","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","3","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","4","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","5","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","6","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","7","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","8","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","5","5","5.0","5","5","1.0","4","4","1.0"
"olym_math","deepseek-anthropic","two_way_balanced","two_way_balanced","9","0.1","0.1","False","500","500","5000","100","True","True","True","10","10","10.0","4","6","5.0","5","5","1.0","4","4","1.0"
