"method","raw_method","benchmark","model_key","mask_type","budget","requested_budget","effective_budget","budget_repaired","mask_id","source_result_file","score_rule","n_prompts","n_obs","n_test","n_total","mean_true","mean_pred","mean_abs_error","prompt_mae","prompt_rmse","w1","q25_true","q25_pred","q25_abs_error","q50_true","q50_pred","q50_abs_error","q75_true","q75_pred","q75_abs_error","true_sd","pred_sd","sd_abs_error","true_min","pred_min","min_abs_error","true_max","pred_max","max_abs_error","train_log_loss","train_brier","test_log_loss","test_brier","converged","max_rhat","min_ess","min_ess_bulk","connected","avg_ci95_low","avg_post_median","avg_ci95_high","cover_avg","avg_ci95_width","sd_ci95_low","sd_post_median","sd_ci95_high","cover_sd","sd_ci95_width","min_ci95_low","min_post_median","min_ci95_high","cover_min","min_ci95_width","q25_ci95_low","q25_post_median","q25_ci95_high","cover_q25","q25_ci95_width","q50_ci95_low","q50_post_median","q50_ci95_high","cover_q50","q50_ci95_width","q75_ci95_low","q75_post_median","q75_ci95_high","cover_q75","q75_ci95_width","max_ci95_low","max_post_median","max_ci95_high","cover_max","max_ci95_width","requested_budget_round","effective_budget_round"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","0","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.6879999999999998","0.001200000000000201","0.1136","0.14075510647930328","0.08880000000000003","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.14518109732471432","0.10771873526052286","0.61","0.4","0.20999999999999996","0.8","1.0","0.19999999999999996","0.5654855075229686","0.194","0.909646143445399","0.23693333333333336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","1","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.7","0.01079999999999992","0.11800000000000001","0.14132232661543612","0.08280000000000001","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.13997084244475305","0.1025084803805616","0.61","0.4","0.20999999999999996","0.8","0.9","0.09999999999999998","0.5640703522541786","0.19080000000000003","0.6835366586393272","0.23746666666666674","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","2","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.6840000000000002","0.005199999999999871","0.11800000000000001","0.14356879883874493","0.08880000000000003","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.1475791036587995","0.11011674159460805","0.61","0.4","0.20999999999999996","0.8","1.0","0.19999999999999996","0.5651370015854682","0.1948","0.9812664143199951","0.23773333333333338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","3","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.694","0.0047999999999999154","0.1136","0.14160508465447139","0.09280000000000004","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.15173822786601396","0.1142758658018225","0.61","0.4","0.20999999999999996","0.8","0.9","0.09999999999999998","0.5613693837932714","0.18980000000000002","0.6838529848349036","0.23766666666666666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","4","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.6939999999999997","0.004799999999999693","0.1008","0.1362791253273956","0.08200000000000003","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.14485742462638135","0.10739506256218989","0.61","0.4","0.20999999999999996","0.8","1.0","0.19999999999999996","0.559413995980605","0.19179999999999997","0.9928084638367511","0.23579999999999998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","5","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.6900000000000002","0.0008000000000001339","0.0864","0.11511733144926531","0.07280000000000003","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.12975644374703535","0.09229408168284389","0.61","0.4","0.20999999999999996","0.8","1.0","0.19999999999999996","0.5762180055231846","0.19739999999999996","0.7553899571440551","0.22926666666666667","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","6","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.6820000000000002","0.007199999999999873","0.10120000000000001","0.12446686306001291","0.07520000000000004","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.1288726629867876","0.09141030092259614","0.61","0.4","0.20999999999999996","0.8","0.9","0.09999999999999998","0.5861000005507752","0.20060000000000003","0.6651091918868101","0.2314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","7","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.688","0.0012000000000000899","0.09040000000000002","0.10978160137290768","0.06560000000000005","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.11364103886486483","0.07617867680067339","0.61","0.5","0.10999999999999999","0.8","0.9","0.09999999999999998","0.5905202183627641","0.202","0.6533142971466263","0.22742222222222225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","8","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.6800000000000002","0.009199999999999875","0.10120000000000001","0.12268659258452003","0.06960000000000002","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.12289036095775183","0.08542799889356037","0.61","0.4","0.20999999999999996","0.8","1.0","0.19999999999999996","0.5883092383211092","0.2028","0.7573010812836688","0.23066666666666666","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
"m0_naive","naive","olym_math","deepseek-anthropic","two_way_balanced","0.1","0.1","0.1","False","9","data/runs/olym_math_deepseek_p50/recovery/naive/results/pilot_naive.pkl","","50","500","4500","5000","0.6892","0.696","0.006799999999999917","0.138","0.17393102080997513","0.11560000000000004","0.66","0.6","0.06000000000000005","0.7","0.7","0.0","0.71","0.8","0.09000000000000008","0.03746236206419145","0.18290178026604825","0.1454394182018568","0.61","0.3","0.31","0.8","1.0","0.19999999999999996","0.5272154296840256","0.17880000000000001","1.0867870540150097","0.25022222222222223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1"
